KEY	EN	JA	ZH
"93F334C94133958344E72EB5204A0D49"	"<msglog>Reached level </><msglog_red>999</>"	"<msglog>レベルに到達しました </><msglog_red>999</>"	"<msglog>到达等级 </><msglog_red>999</>"
"1A4158A14BCE851907B924987753B946"	">"	""	""
"44012DDE4B1C2F80ECA1FA83B3356BFC"	">>"	""	""
"3831290941521BD483C65FA6C36C0182"	"???"	"?"	""
"A8467F2D49DFA7EDB5B91DB8EAA6D61D"	"???"	"?"	""
"44B931D24DBDFCA135D426BF1009D820"	"A Cut Above"	"一線を画す"	"高出一筹"
"1528D911450FE5952C618BB28E9ACC8A"	"A Cut Above quest item."	"一線を画すクエストアイテム。"	"高出一筹任务道具."
"73606DE5472E344C7B5C58A9B5077A71"	"A Cut Above quest item."	"一線を画すクエストアイテム。"	"高出一筹任务道具."
"1760A591456985766C8969BFBD38EBCA"	"A Different Outcome"	"別の結末"	"一个不同的结果"
"7C3DBD63480AC072C8EBF9BAED6617D0"	"A Different Outcome"	"別の結末"	"一个不同的结果"
"BF0171E6494363A62754CAA1FD3536D1"	"A Different Outcome"	"別の結末"	"一个不同的结果"
"CB9C1C134C500783FB8E289DDBEE9A7E"	"A Different Outcome"	"別の結末"	"一个不同的结果"
"D1C2C99D47FAA6A3F731BFB581902058"	"A Different Outcome"	"別の結末"	"一个不同的结果"
"7FB31EEB4DA77DC599A457B00A79A6F2"	"A Father's Grief"	"父の悲しみ"	"父亲的悲伤"
"BAF1B45742FA35BD502274A68AC1FF85"	"A Father's Message"	"父のメッセージ"	"一位父亲的信息"
"BFC807874E40EC04A6121E983D83BF09"	"A Healing Touch"	"癒しの手"	"治愈之触"
"C26C4457465E5FBD499E888E505745B5"	"A Hearty Request"	"心からの願い"	"诚挚的请求"
"2587702E46DEA9C4EBA8DDAF2CEFDF0C"	"A New Home"	"新しい家"	"新的家园"
"4FCE89494BF105765AD662BA14511B49"	"A New Home"	"新しい家"	"新的家园"
"E67F32AD4A7375D998C06EB0D778392B"	"A Plague"	"疫病"	"瘟疫"
"4BE3017C45B185A0FF4FA5AF18B37B76"	"A Remedy for Remembrance"	"思い出のための治療法"	"回忆的补救"
"7DC828534E6DF85472087D95591A7791"	"A Remedy for Remembrance"	"思い出のための治療法"	"回忆的补救"
"A72217C44123F75265CC2C81C3A39BE1"	"A Shot at Redemption"	"償いの機会"	"救赎一击"
"CA62DBD140F105609285E08BC841DC15"	"A Shot at Redemption"	"償いの機会"	"救赎一击"
"2950F7D643C8BB08DFBCB9961C6B02FB"	"A Tall Tusk"	"長い牙"	"高长的獠牙"
"54675FD94DB179AE0B4C44A355DAB6CA"	"A Tall Tusk"	"長い牙"	"高长的獠牙"
"44C14877437B5D177D232F8318D80AAB"	"A bag full of axe heads that should be made without the need to vipe out the entire bandit camp."	"盗賊のキャンプをすべて一掃する必要なく作られるべき斧の頭の袋。"	"一个装满斧头的袋子，应该可以不需要消灭整个强盗营地就能制作."
"E04156374C4115D39DA74CA62E241917"	"A baked dish which is usually made of a pastry dough casing that contains a filling of various sweet or savoury ingredients."	"通常、さまざまな甘味または塩味のの詰め物が入ったペストリー生地のケーシングで作られる焼き菓子。"	"一种烤制的菜肴，通常是用面团做外壳，里面装上各种甜味或咸味的馅料。"
"D6BCB4B14E46E0E16AC21B95C2E242C0"	"A beneficial exchange for both our villages, indeed."	"確かに、私たちの両方の村にとって有益な交換です。"	"对我们两个村庄来说，这确实是一个有益的交换。"
"9399C26C427DBBAC5FFF1BA20F031AFE"	"A better version of the simple pickaxe used for mining ores and stones. Can also be used as weapon."	"鉱石や石を採掘するために使用されるシンプルなつるはしの改良版。武器としても使用できます。"	"用于开采矿石和石头的简单镐的进阶版本。也可作为武器使用。"
"A33FDD36452A7CD348488685E95D1547"	"A better version of the simple pickaxe used for mining ores and stones. Can also be used as weapon."	"鉱石や石を採掘するために使用されるシンプルなつるはしの改良版。武器としても使用できます。"	"用于开采矿石和石头的简单镐的进阶版本。也可作为武器使用。"
"F969DBA342FD8214858141BAA74D191C"	"A bit pricey, but we're desperate. Here's the gold."	"少し高価ですが、私たちは必死です。これがゴールドです。"	"有点贵，但我们没办法。这是你的报酬。"
"CDD55F834A0850FF4379359792EBFF0F"	"A boar… A BOAR?! I don’t know what to say, I’m stunned. I hope the Elder doesn’t exile him."	"イノシシ…イノシシですか？私は何を言ったらいいのか分かりません、私は唖然としています。長老が彼を追放しないことを願っています。"	"一只野猪……一只野猪？！我不知道该说什么，我惊呆了。我希望长老不会流放他。"
"EACFB0774015FA9076611784971304E4"	"A break… I haven't considered that. It could help clear my head. Thanks for the suggestion."	"休憩…私はそれを考えていませんでした。それは私の頭をすっきりさせるのに役立つかもしれません。ご提案ありがとうございます。"	"休息一下吗……这我倒是没想到。不过这可能有助于我整理思绪。感谢你的建议。"
"68BB48CD4C80455B2AF53FB626B4DA76"	"A bunch of lads that hate the Brigands and Bandits even more than me."	"私よりも強盗と盗賊を憎む若者の集団です。"	"一群小伙子，他们比我更憎恨强盗和土匪。"
"3184E01F436E44FC6E981099F4EC5C57"	"A colored material that is completely or nearly insoluble in water."	"水に完全にまたはほとんど溶けない着色材料。"	"完全或几乎不溶于水的有色物质。"
"DD1294994EDC3706CAD41781E1E419FE"	"A colored material that is completely or nearly insoluble in water."	"水に完全にまたはほとんど溶けない着色材料。"	"完全或几乎不溶于水的有色物质。"
"F78F65F04C050672643FD3972670167B"	"A common fish that lives in the lakes and rivers of the Lowlands. Often sold by local fishermen. Inedible raw due to a high concentration of parasites that need to be cooked out."	"ローランドの湖や川に生息する一般的な魚。地元の漁師が販売することが多い。寄生虫の濃度が高いため、生では食べられない。"	"一种常见鱼类，生活在低地的湖泊和河流中。经常由当地渔民出售。由于寄生虫浓度高，生吃不可食用，需要煮熟。"
"06E75016457DDF9B74EC988A06DA5009"	"A common herb that can be used to add flavor to dishes or to treat various ailments."	"料理に風味を加えたり、さまざまな病気を治療したりするために使用できる一般的なハーブ。"	"一种常见的草药，可用于调味或治疗各种疾病。"
"C59E3B5E4AAB80B6D21508864810F693"	"A common herb that can be used to add flavor to dishes or to treat various ailments."	"料理に風味を加えたり、さまざまな病気を治療したりするために使用できる一般的なハーブ。"	"一种常见的草药，可用于调味或治疗各种疾病。"
"7DC8C4A642CB56AEC664BEAA51C6BE27"	"A common herb that can be used to add flavor to dishes or treat various ailments."	"料理に風味を加えたり、さまざまな病気を治療したりするために使用できる一般的なハーブ。"	"一种可以用来给菜肴增加风味或治疗多种疾病的常见草药。"
"1A2DF4D44E914C258E2CAF95143E712B"	"A common herb that can be used to add flavor to dishes. Grows mostly in fields. Can be planted on a farm."	"料理に風味を加えるために使用できる一般的なハーブ。主に畑で育つ。農場で栽培できる。"	"一种常见的草药，可用于调味菜肴。多生长在田野中。可以在农场种植。"
"61AE8E1B49B60D4E58A6BEBC31C24F85"	"A common type of carbonate sedimentary rock. Can be mined from certain rocks. Can be found in the Southern parts of Karvenia."	"一般的なタイプの炭酸塩堆積岩。特定の岩から採掘できる。カルヴェニアの南部で見つかる。"	"一种常见的碳酸盐沉积岩。可以从某些岩石中开采。可以在卡文尼亚的南部地区找到。"
"AD88A14441CFA7F2C55D72B8FD06058D"	"A couple nights ago, I got a visit from some old mates who had left the Lord’s guard, like I did back in the day. They came over for a drink and a chinwag."	"数日前、私は昔のように主の警備を離れた古い仲間から訪問を受けました。彼らは飲み物と雑談のためにやってきました。"	"前几天晚上，有一些老朋友来拜访我，他们和我一样离开了领主的卫队。他们过来喝一杯，聊聊天。"
"F84ECF55422FE1C3B54443B225BC37D1"	"A couple of my friends want to go on a trip outside the Lowlands, you know what I mean right? And I want to keep them safe so let’s say you bring me some reinforced gambesons and sturdy helmets and I will give you some gold for the trouble."	"私の友人の何人かはローランドの外への旅行に行きたいと思っています。私の言っていることがわかりますよね？そして私は彼らを安全に保ちたいので、強化されたガンベゾンと頑丈なヘルメットを持ってきてください。そうすれば、私はあなたにいくつかのゴールドを与えます。"	"我有几个朋友想出去低地旅行，你懂我什么意思吧？我想让他们一路安全，所以给我带一些加固的软甲和锁子甲头盔，我给你一些金币作为酬劳。"
"A3ECA2FE42F3FEEC5794F6A82C3A43A1"	"A couple of trade caravans and we could buy food for the next three winters for the whole village."	"2、3の貿易キャラバンがあれば、村全体で今後3年間の食料を買うことができます。"	"几支商车，我们就可以为整个村庄购买未来三个冬天的食物。"
"DD46F2CD4987B076DEF9B5817B11F9FC"	"A cozy building that can house up to 7 settlers and significantly affect their morale."	"最大7人の入植者を収容でき、彼らの士気に大きく影響を与える居心地の良い建物。"	""
"774FECE341E8E5F1E5256190349938AD"	"A crowd gathered, and they were furious. They were all shouting at Dobbins. He had nowhere to run."	"群衆が集まり、彼らは激怒しました。彼らは皆ドビンスに叫んでいました。彼は逃げる場所がありませんでした。"	"聚集了一群非常愤怒的人。他们都在朝着多宾斯大吼。他躲都没地方躲。"
"E96A11FD49D438A2CC0865A6E83EDB01"	"A dancing light in the ruins? That's quite the sight."	"廃墟で踊る光ですか？それはかなりの光景ですね。"	"废墟中舞动的光芒？那真是一幅奇景。"
"5AE227444780151821D4388B94605568"	"A durable blend of flax and cotton fibers. Crafted by skilled artisans."	"亜麻と綿の繊維を耐久性のあるブレンドしたもの。熟練した職人が作っています。"	"亚麻和棉花纤维的耐用混合物。由熟练的工匠制作。"
"A635A3294DB287629EEBBEA41C5FC1CA"	"A durable blend of flax and cotton fibers. Crafted by skilled artisans."	"亜麻と綿の繊維を耐久性のあるブレンドしたもの。熟練した職人が作っています。"	"亚麻和棉花纤维的耐用混合物。由熟练的工匠制作。"
"A9A7075440BE572256632BA07A936D47"	"A fair response. I understand the challenges. Your efforts, however sporadic, are still very much appreciated. I'll ensure that your findings are put to good use."	"公正な対応です。私は課題を理解しています。あなたの努力は、どんなに散発的であっても、依然として非常に高く評価されています。あなたの発見が有効活用されるようにします。"	"不错的回答。我知道这有多难。你的努力，无论多么零星，仍然非常值得赞赏。我会确保你的发现得到很好的利用。"
"D56ACCAC42826C65686239B3CD45069C"	"A farmer in Padstow needs help with a cow bitten by wolves. He thinks you can whip up a cure. Got a bit of a problem."	"パドストーの農家が狼に噛まれた牛の世話を手伝ってくれる人を探しています。彼はあなたが治療法を思いつくことができると思っています。少し問題があります。"	"帕德斯托有个农民需要帮忙，他的牛被狼咬伤了。他认为你可能有办法。问题不大。"
"02B3E46E442902A09C6CA49A2EC3A754"	"A fat bag of coins for your trouble. What do you think?"	"あなたの苦労に対するコインの袋。どう思いますか？"	"给你一大包金币作为报酬，你觉得怎么样？"
"727B0B93409E778F37BC0CA1D70C70AF"	"A few leaves steeped in hot water make a tea that calms the stomach and eases the mind. It's also said to ward off evil spirits, but that's more a matter of belief, I suppose."	"熱いお湯に浸した数枚の葉は、胃を落ち着かせ、心を和ませるお茶になります。悪霊を寄せ付けないとも言われていますが、それはどちらかと言えば信仰の問題だと思います。"	"几片叶子泡在热水中，可以制成一种茶，可以镇定胃部，舒缓心情。据说它还可以驱邪，但我觉得这更多的是一种信仰。"
"B62CB8CD4DC4FF6EDD5B74BD55A3ED0F"	"A few leaves steeped in hot water make a tea that calms the stomach and eases the mind. It's also said to ward off evil spirits, but that's more a matter of belief, I suppose."	"熱いお湯に浸した数枚の葉は、胃を落ち着かせ、心を和ませるお茶になります。悪霊を寄せ付けないとも言われていますが、それはどちらかと言えば信仰の問題だと思います。"	"几片叶子泡在热水中，可以制成一种茶，可以镇定胃部，舒缓心情。据说它还可以驱邪，但我觉得这更多的是一种信仰。"
"D182B65B44CEBB76CAA415AC19FC1180"	"A few leaves steeped in hot water make a tea that calms the stomach and eases the mind. It's also said to ward off evil spirits, but that's more a matter of belief, I suppose."	"熱いお湯に浸した数枚の葉は、胃を落ち着かせ、心を和ませるお茶になります。悪霊を寄せ付けないとも言われていますが、それはどちらかと言えば信仰の問題だと思います。"	"几片叶子泡在热水中，可以制成一种茶，可以镇定胃部，舒缓心情。据说它还可以驱邪，但我觉得这更多的是一种信仰。"
"E501701744964802ED59F1A54428B5ED"	"A flowering plant that has fibers that can be used for many things. Native to the Lowlands. Grows mostly in fields. Can be planted on a farm."	"多くの用途に使用できる繊維を持つ開花植物。ローランド原産。主に畑で育つ。農場で栽培できる。"	"一种开花植物，其纤维可用于多种用途。原产于低地。多生长在田野中。可以在农场种植。"
"8AEA202D420053A085FCE5A768B4FAAA"	"A former bandit. Don’t worry, he won’t bother Haerndean anymore."	"元強盗です。心配しないでください。彼はもうハーンディーンを悩ませません。"	"一个前强盗。别担心，他不会再打扰黑恩登了。"
"1EEA32AD42CEC8F37F5062BBD02296D4"	"A friend of Oscar Lanslet. I came to seek your wisdom."	"オスカー・ランスレットの友人です。あなたの知恵を求めてきました。"	"奥斯卡·兰斯莱特的朋友。我来寻求你的智慧。"
"3A28F8FD47D8A5CD2DE70082D0A7712D"	"A fully fiber that can be woven into fabric. Raw cotton can be harvested wild in the Highlands."	"織物に織り込むことができる完全な繊維。綿の原料はハイランドで野生で収穫できます。"	"一种可以编织成布料的纯纤维。野生的生棉可以在高地采集。"
"8E642EDB4E18966746E41DBADFA92698"	"A good plan. We'll train and equip them well."	"良い計画です。私たちは彼らを訓練し、装備します。"	"好计划。我们会好好训练和装备他们。"
"13C4A50A4664F7934ECFD8920C744704"	"A growing tree, ready to be planted in a forest by your worker."	"森に植えることができる、成長中の木"	""
"60FE2902438543E29D842BACB82D3FAC"	"A hammer and a mace, I’ll see what I can do."	"ハンマーとメイスね、できるかどうか見てみるよ。"	"一把锤子和一把钉头锤，我会尽力而为。"
"79FF3C014921346534F8C0A04757017A"	"A hard and durable metal. Used to make improved tools and weaopns. Smelted from Iron Ore in the Furnace"	"硬くて耐久性のある金属。改良されたツールや武器を作るために使用されます。炉で鉄鉱石から製錬されます"	"一种坚硬耐用的金属。用于制造改进的工具和武器。在熔炉中由铁矿石冶炼"
"877F184C49F6A0546F5132B57451929B"	"A hard and durable metal. Used to make improved tools and weaopns. Smelted from Iron Ore in the Furnace"	"硬くて耐久性のある金属。改良されたツールや武器を作るために使用されます。炉で鉄鉱石から製錬されます"	"一种坚硬耐用的金属。用于制造改进的工具和武器。在熔炉中由铁矿石冶炼"
"C4099FC740CF8848706A2C8210BEF480"	"A hard, crystalline mineral composed of silica."	"ケイ酸塩で構成された硬い結晶質の鉱物。"	"一种由二氧化硅组成的坚硬的结晶性矿物。"
"AB3F2DFC446CB8DCC57BD88C32CE6E9C"	"A healthy dose of skepticism, I respect that. But you won't regret it. This isn't a fool's errand; it's an opportunity."	"健康的な懐疑論、私はそれを尊重します。しかし、あなたはそれを後悔しません。これは愚か者の用事ではありません。それは機会です。"	"不错的怀疑态度，我理解。但你不会后悔的。这不是愚蠢的差事；这是一个机会。"
"DD66FC6441B7ECE91188CBBA1175EB3A"	"A heretic like you will never triumph over me!"	"あなたのような異端者は決して私に勝つことはできません！"	"像你这样的异端是永远不可能战胜我的！"
"F3ABA4BF44405E689E5A488B0C1126BA"	"A heretic like you will never triumph over me!"	"あなたのような異端者は決して私に勝つことはできません！"	"像你这样的异端是永远不可能战胜我的！"
"9F1C91AE4C03C7CA538DCAB7E6779F38"	"A letter from caring the father to his daughter."	"思いやりのある父親から娘への手紙。"	"一封来自关心的父亲给女儿的信。"
